Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),NAT Gateway,Amazon Virtual Private Cloud (VPC),0,70.2,842.4,USD,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),S3 Bucket,S3 Standard,0,0.05,0.6,USD,S3 Standard storage (2 GB per month)
My Estimate,US East (N. Virginia),S3 Bucket,Data Transfer,0,0,0,USD,
My Estimate,US East (N. Virginia),Web Servers,Amazon EC2,0,648.88,7786.56,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.xlarge)"
My Estimate,US East (N. Virginia),Application Servers,Amazon EC2,0,633.11,7597.32,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t3.xlarge)"
My Estimate,US East (N. Virginia),RDS Database with Replica,Amazon RDS for MySQL,0,5489.25,65871,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (8), Instance type (db.m1.xlarge), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (30 GB)"
My Estimate,US East (N. Virginia),Load Balancers,Application Load Balancer,0,266.45,3197.4,USD,Number of Application Load Balancers (2)
My Estimate,US West (N. California),Auto Scaled Web Instances,Amazon EC2,0,811.36,9736.32,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (c5.xlarge)"
My Estimate,US West (N. California),Auto Scaled Application Instances,Amazon EC2,0,1205.56,14466.72,USD,"Operating system (Linux), Quantity (8), Pricing strategy (EC2 Instance Savings Plans 1 Year No Upfront), Storage amount (30 GB), Instance type (t4g.2xlarge)"
My Estimate,US West (N. California),Out of region RDS Backup,Amazon RDS for MySQL,0,2927.84,35134.08,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (8), Instance type (db.m1.large), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,US East (Ohio),Cloud Watch,Amazon CloudWatch,0,117.21485,1406.58,USD,"Number of Metrics (includes detailed and custom metrics) (20), GetMetricData: Number of metrics requested (20), GetMetricWidgetImage: Number of metrics requested (20), Number of other API requests (20), Standard Logs: Data Ingested (50 GB), Vended Logs: Data Ingested (50 GB), Logs Delivered to S3: Data Ingested (50 GB), Expected Logs Data scanned (50 GB), Number of Custom/Cross-account events (50), Number of Dashboards (10), Number of Standard Resolution Alarm Metrics (20), Number of High Resolution Alarm Metrics (20), Number of composite alarms (20), Number of Canary runs (12)"
My Estimate,US West (N. California),,AWS Lambda,0,529.73,6356.76,USD,"Number of requests (50000), Concurrency (5000), Time for which Provisioned Concurrency is enabled (24 hours), Number of requests for Provisioned Concurrency (5000), Number of requests (5000)"
My Estimate,US West (N. California),Cache,Amazon ElastiCache,0,5921.76,71061.12,USD,( 1 instances of type Memcached  Memory optimized  cache r4.16xlarge  OnDemand )
,,,,,,,,
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
,,,,,,,,
"When dealing with increased budget, I was thinking of two things, increased redundancy and performance optimization. I achived the redundancy by making my RDS servers multi region with replicas. I also added CloudWatch service",,,,,,,,
in case of any issues I would have alarms and monitoring. The perfomance gain I achieved by adding ElastiCache so that the data is not being returned from the database. I also moved some servers closer to the customers.,,,,,,,,
